isoo,wH_data,wL_data,w_data,GDPc_data,Hn_data,WR_data,Hr_data,mH_data,mL_data,GNIc_data,RemGDP_data,wap_data,exp_prim_data,exp_seco_data,exp_tert_data,cs_h_data,RemiT_data,GovExp_data,EduExp_data,GovCons_data,c_low,c_high
MOZ,27464.36818814927,5750.496848540163,5861.128011584486,2159.767243148025,.00843109,4.775999172162219,.0050949534200525,.4018218801316881,.006809027715342,2159.767243148025,.0099133898560616,.514220809936523,.146371,.6107715,1.4865744,.1340034157037735,129284732.7236425,.33400626211711,.0567216014862061,.1784592508286877,2.0973459,1.4865744
MRT,11747.4056185596,2542.729003957034,3097.986453906643,1299.210162710606,.06273911,4.619999064107147,.0603234065897255,.0544668504394832,.0140675339333624,1299.210162710606,0,.563045043945313,.1126867,.2651682,1.6281621,.1514804810285568,0,.2793096299553,.0233102011680603,.1352009150767673,1.8933303,1.6281621
MUS,77008.80406289414,22689.69329399585,24088.77463711082,14529.24173729329,.07158948,3.393999339923745,.0257567055739809,.6902277153161023,.0964986089122,14529.24173729329,.000078458341273,.711075134277344,.1019572,.1840825,.1244074,.1883804500102997,230000000,.25118093130971,.0355147004127502,.1381848764600253,.3084899,.1244074
MWI,7977.063550458864,1656.711264384658,1724.638187892928,743.8361834851428,.01236851,4.81499928318634,.0107473318628039,.1341952668237004,.0019576219840156,743.8361834851428,.003817044607822,.5111553573608399,.050869,.1740599,14.47392,.0837594866752625,21744440.06821315,.37552848467754,.0353979992866516,.1423141046671191,14.6479799,14.47392
MYS,53454.16444600756,14881.45207245792,21028.14866798403,10292.18292077517,.16781754,3.591999234062562,.1593534967414184,.0664565931584182,.0068722392174726,10292.18292077517,.0062794313222303,.674766006469727,.1238303,.1805817,.4547487,.1563621610403061,1213629008.410703,.27878314846227,.0496645021438599,.1258116902879598,.6353304,.4547487
NAM,30258.9024670231,6335.617347539849,7744.08935377295,4570.853495695106,.06140512,4.775999055367948,.0588745232604377,.0475508015178575,.0039334611227253,4570.853495695106,.0017048388720069,.5887120056152341,.1708606,.1536475,1.1526448,.2502482831478119,63628115.76981191,.32750423965367,.0834961032867432,.2555409669672481,.9137713,.7601237999999999
NER,7086.808104750035,1483.837761628345,1522.300951340364,514.4359303908331,.00761406,4.775999295888697,.0068647855256341,.1000262052839966,.0010426096563883,514.4359303908331,.0207094996627963,.475920791625977,.2170959,.426507,4.5190547,.146146297454834,129737778.8166677,.20661262769346,.0274470996856689,.1548068429123771,4.9455617,4.5190547
NGA,15055.06109048095,3152.232790395618,4200.05550906614,1524.443837955527,.09207787,4.775999138246219,.088031406675253,.0512948622624894,.0032639740906478,1524.443837955527,.0941893823247804,.532488021850586,0,0,0,.1069186255335808,19695036594.82681,.26683414898464,.0364,.0884810020762782,.4072173,.2567837
NIC,10520.73137410962,3193.908182736913,3796.081254445636,1673.867957137919,.09823715,3.293999317505186,.0821874714293335,.2383261653298674,.0733818254921524,1673.867957137919,.0967300806663448,.609176864624023,.1125575,.0742901,1.001668464424185,.1727710515260696,868979999.9999999,.335596,.0448422002792358,.1409760869913875,1.6088449,1.5345548
NLD,41718.28308117617,28971.03532388066,32084.14243335729,24694.93965057912,.24955789,1.439999731276018,.2442179809123845,.0818969628104378,.0385493204696043,24694.93965057912,.0019639761061767,.670553512573242,.1684558,.2273967,1.499117006946206,.2113475948572159,1702233607.650265,.511946,.0548908996582031,.2624333723933684,.5578227,.330426
NOR,44206.19433736393,39646.81982196328,40956.13644299599,28499.56410404919,.2825076899999999,1.114999753722362,.287170228418417,.0520776772980963,.0261423496716051,28499.56410404919,.0015636358357783,.6618535614013671,.207242,.2676168,.4344995,.1241715550422668,705581590.3687513,.459206,.0674633979797363,.2134020765748054,.7021163,.4344995
NPL,47327.97973401424,10473.11069818206,11778.39438210976,1133.881099239067,.03934529,4.518999282823345,.0354168585610394,.1076441807109569,.0046103410239905,1133.881099239067,.1952202716924069,.5797000122070309,.1109709,.1105385,.3302038,.0816836878657341,3636794051.205093,.18777491594224,.0363172006607056,.0999258870498518,.4407423,.3302038
NZL,27926.91453915514,22576.3306365689,24453.5340510328,18653.24706446202,.31584698,1.236999713935772,.3508408518846955,.1686968862433023,.1335173841114877,18653.24706446202,.0028545145309528,.665050048828125,.1941374,.2167271,.2808001,.1985010355710983,408001260.8160838,.351255,.0700128984451294,.196876397536895,.4975271999999999,.2808001
OMN,10210.55480163115,3611.799537450286,4637.820886764353,8332.427437764976,.15584713,2.826999310387861,.1554871044973406,.0034051428559475,.0006715336421001,8332.427437764976,.0008452266150248,.7008607482910161,.1562354,.150388,.4276602,.1706018000841141,39011703.51105332,.34013894232257,.041877498626709,.1869942253602682,.6035759000000001,.4276602
PAK,14900.53544343438,4956.932115443801,5382.462007470859,2239.03869102446,.04769199,3.005999496545518,.0427943350102493,.1142701437367464,.0078250244075877,2239.03869102446,.0458593786240057,.602393379211426,.0840863,.1087309,.7858395,.1139075830578804,10343200000,.202583,.0228687000274658,.1031622662708727,.8945704,.7858395
PAN,27482.6782559958,9259.664597665094,12367.57220868286,6674.924471299094,.18590393,2.967999322883228,.170548498140261,.1427802497254861,.0479753799112819,6674.924471299094,.0134869651731106,.639162368774414,.119181,.1448871,.2580472,.1329169124364853,380820000.0000001,.265557,.0315900993347168,.1261230354310248,.3399578,.1950707
PER,19958.75570780647,8343.963242383837,10635.53504143378,5387.889380076077,.20390974,2.391999476510676,.1972976965255284,.0781585632981352,.0393517839872451,5387.889380076077,.0190859359519932,.6401182556152339,.0881718,.1064755,.1130361,.1030080989003181,2574234002.87183,.203983,.0286730003356934,.1052583592460363,.2195116,.1130361
PHL,13231.15512290116,4168.606670999753,6673.289164672043,2926.452995831855,.29374837,3.173999412069247,.2763772802943509,.1159772159848882,.0373036710633308,2926.452995831855,.1153895056378354,.610009613037109,.090567,.0919364,.1056665,.0920198857784271,21606023905.15591,.168813,.0253777003288269,.0972039517748043,.1976029,.1056665
PNG,11322.14050968454,2565.052675337998,3827.608065532378,1633.882827141901,.14696685,4.413999220578432,.1441752571262855,.0284585082789093,.0064060611044112,1633.882827141901,.000941615472631,.581657524108887,0,0,0,0,8428188.487140212,.28189805146764,.01965,.1508,.47804385,.32761025
POL,20836.28204466482,12720.56545649557,14155.73186807879,10160.12801430914,.19139408,1.637999671942656,.1768379164047385,.1655113924672376,.0808469603404883,10160.12801430914,.0198435716996038,.7146377563476559,.2677388,.2409019,.2043721,.2375988960266113,8234000000,.453656,.0506842994689941,.1917511493982765,.445274,.2043721
PRT,36608.26244771182,14458.24225998964,17251.49337541732,14436.01191730566,.11438197,2.531999518988421,.1261060302317912,.1319893878487108,.1431093192067769,14436.01191730566,.0022685057759792,.668363265991211,.2100495,.348872,.3001118,.1978751718997955,3943078108.94,.513467,.0541248989105225,.2059315437855765,.6489838,.3001118
