isoo,isod,Nijl,Nijh,dums
ALB,PER,0,0,0
ALB,PHL,0,0,0
ALB,PNG,0,0,0
ALB,POL,50,34,0
ALB,PRT,26,19,0
ALB,PRY,0,0,0
ALB,QAT,0,0,0
ALB,ROM,0,0,0
ALB,RWA,0,0,0
ALB,SAU,0,0,0
ALB,SDN,0,0,0
ALB,SEN,0,0,0
ALB,SGP,0,0,0
ALB,SLB,0,0,0
ALB,SLE,0,0,0
ALB,SLV,0,0,0
ALB,SOM,0,0,0
ALB,SRB,0,0,0
ALB,STP,0,0,0
ALB,SUR,0,0,0
ALB,SVK,37,6,0
ALB,SVN,112,12,0
ALB,SWE,580,300,0
ALB,SWZ,0,0,0
ALB,SYR,0,0,0
ALB,TCD,0,0,0
ALB,TGO,0,0,0
ALB,THA,0,0,0
ALB,TJK,0,0,0
ALB,TKM,0,0,0
ALB,TON,0,0,0
ALB,TTO,0,0,0
ALB,TUN,0,0,0
ALB,TUR,3151,443,0
ALB,TZA,0,0,0
ALB,UGA,0,0,0
ALB,UKR,0,0,0
ALB,URY,0,0,0
ALB,USA,38793,20084,0
ALB,UZB,0,0,0
ALB,VCT,0,0,0
ALB,VEN,0,0,0
ALB,VNM,0,0,0
ALB,VUT,0,0,0
ALB,WSM,0,0,0
ALB,YEM,0,0,0
ALB,ZAF,0,0,0
ALB,ZAR,0,0,0
ALB,ZMB,0,0,0
ALB,ZWE,0,0,0
ARE,AFG,0,0,0
ARE,AGO,0,0,0
ARE,ALB,0,0,0
ARE,ARE,24484394,4549306,1
ARE,ARG,0,0,0
ARE,ARM,0,0,0
ARE,AUS,313,1030,0
ARE,AUT,0,0,0
ARE,AZE,0,0,0
ARE,BDI,0,0,0
ARE,BEL,22,25,0
ARE,BEN,0,0,0
ARE,BFA,0,0,0
ARE,BGD,0,0,0
ARE,BGR,0,0,0
ARE,BHR,0,0,0
ARE,BHS,0,0,0
ARE,BIH,0,0,0
ARE,BLR,0,0,0
ARE,BLZ,0,0,0
ARE,BOL,0,0,0
ARE,BRA,0,0,0
ARE,BRB,0,0,0
ARE,BRN,0,0,0
ARE,BTN,0,0,0
ARE,BWA,0,0,0
ARE,CAF,0,0,0
ARE,CAN,675,3175,0
ARE,CHE,0,0,0
ARE,CHL,0,0,0
ARE,CHN,0,0,0
ARE,CIV,0,0,0
ARE,CMR,0,0,0
ARE,COG,0,0,0
ARE,COL,0,0,0
ARE,COM,0,0,0
ARE,CPV,0,0,0
ARE,CRI,0,0,0
ARE,CUB,0,0,0
ARE,CYP,0,0,0
ARE,CZE,4,2,0
ARE,DEU,0,0,0
ARE,DJI,0,0,0
ARE,DNK,108,44,0
ARE,DOM,0,0,0
ARE,DZA,0,0,0
ARE,ECU,0,0,0
ARE,EGY,0,0,0
ARE,ERI,0,0,0
ARE,ESP,45,25,0
ARE,EST,0,2,0
ARE,ETH,0,0,0
ARE,FIN,24,11,0
ARE,FJI,0,0,0
ARE,FRA,51,182,0
ARE,FSM,0,0,0
ARE,GAB,0,0,0
ARE,GBR,1372,3383,0
ARE,GEO,0,0,0
ARE,GHA,0,0,0
ARE,GIN,0,0,0
ARE,GMB,0,0,0
ARE,GNB,0,0,0
ARE,GNQ,0,0,0
ARE,GRC,16,24,0
ARE,GRD,0,0,0
ARE,GTM,0,0,0
ARE,GUY,0,0,0
ARE,HND,0,0,0
ARE,HRV,0,0,0
ARE,HTI,0,0,0
ARE,HUN,10,20,0
ARE,IDN,0,0,0
ARE,IND,0,0,0
ARE,IRL,22,102,0
ARE,IRN,0,0,0
ARE,IRQ,0,0,0
ARE,ISL,1,0,0
ARE,ISR,0,0,0
ARE,ITA,50,46,0
ARE,JAM,0,0,0
ARE,JOR,0,0,0
ARE,JPN,7,4,0
ARE,KAZ,0,0,0
ARE,KEN,0,0,0
ARE,KGZ,0,0,0
ARE,KHM,0,0,0
ARE,KWT,0,0,0
ARE,LAO,0,0,0
ARE,LBN,0,0,0
ARE,LBR,0,0,0
ARE,LBY,0,0,0
ARE,LCA,0,0,0
ARE,LKA,0,0,0
ARE,LSO,0,0,0
ARE,LTU,0,0,0
ARE,LUX,0,2,0
ARE,LVA,0,0,0
ARE,MAR,0,0,0
ARE,MDA,0,0,0
ARE,MDG,0,0,0
ARE,MDV,0,0,0
ARE,MEX,0,0,0
ARE,MKD,0,0,0
ARE,MLI,0,0,0
ARE,MLT,0,0,0
ARE,MMR,0,0,0
ARE,MNG,0,0,0
ARE,MOZ,0,0,0
ARE,MRT,0,0,0
ARE,MUS,0,0,0
ARE,MWI,0,0,0
ARE,MYS,0,0,0
ARE,NAM,0,0,0
ARE,NER,0,0,0
ARE,NGA,0,0,0
ARE,NIC,0,0,0
ARE,NLD,137,334,0
ARE,NOR,38,53,0
ARE,NPL,0,0,0
ARE,NZL,0,0,0
ARE,OMN,0,0,0
ARE,PAK,0,0,0
ARE,PAN,0,0,0
ARE,PER,0,0,0
ARE,PHL,0,0,0
ARE,PNG,0,0,0
ARE,POL,0,3,0
ARE,PRT,5,6,0
ARE,PRY,0,0,0
ARE,QAT,0,0,0
ARE,ROM,0,0,0
ARE,RWA,0,0,0
ARE,SAU,0,0,0
ARE,SDN,0,0,0
ARE,SEN,0,0,0
ARE,SGP,0,0,0
ARE,SLB,0,0,0
ARE,SLE,0,0,0
ARE,SLV,0,0,0
ARE,SOM,0,0,0
ARE,SRB,0,0,0
ARE,STP,0,0,0
ARE,SUR,0,0,0
ARE,SVK,3,8,0
ARE,SVN,3,2,0
ARE,SWE,200,145,0
ARE,SWZ,0,0,0
ARE,SYR,0,0,0
ARE,TCD,0,0,0
ARE,TGO,0,0,0
ARE,THA,0,0,0
ARE,TJK,0,0,0
ARE,TKM,0,0,0
ARE,TON,0,0,0
ARE,TTO,0,0,0
ARE,TUN,0,0,0
ARE,TUR,0,0,0
ARE,TZA,0,0,0
ARE,UGA,0,0,0
ARE,UKR,0,0,0
ARE,URY,0,0,0
ARE,USA,20996,5719,0
ARE,UZB,0,0,0
ARE,VCT,0,0,0
ARE,VEN,0,0,0
ARE,VNM,0,0,0
ARE,VUT,0,0,0
ARE,WSM,0,0,0
ARE,YEM,0,0,0
ARE,ZAF,0,0,0
ARE,ZAR,0,0,0
ARE,ZMB,0,0,0
ARE,ZWE,0,0,0
ARG,AFG,0,0,0
ARG,AGO,0,0,0
ARG,ALB,0,0,0
ARG,ARE,0,0,0
ARG,ARG,20757000,2670358,1
ARG,ARM,0,0,0
ARG,AUS,5888,4135,0
ARG,AUT,0,0,0
ARG,AZE,0,0,0
ARG,BDI,0,0,0
ARG,BEL,503,618,0
ARG,BEN,0,0,0
ARG,BFA,0,0,0
ARG,BGD,0,0,0
ARG,BGR,0,0,0
ARG,BHR,0,0,0
ARG,BHS,0,0,0
ARG,BIH,0,0,0
ARG,BLR,0,0,0
ARG,BLZ,0,0,0
ARG,BOL,0,0,0
ARG,BRA,0,0,0
ARG,BRB,0,0,0
ARG,BRN,0,0,0
ARG,BTN,0,0,0
ARG,BWA,0,0,0
ARG,CAF,0,0,0
ARG,CAN,6995,9740,0
ARG,CHE,3010,3853,0
ARG,CHL,12183,8429,0
ARG,CHN,0,0,0
ARG,CIV,0,0,0
ARG,CMR,0,0,0
ARG,COG,0,0,0
ARG,COL,0,0,0
ARG,COM,0,0,0
ARG,CPV,0,0,0
ARG,CRI,0,0,0
ARG,CUB,0,0,0
ARG,CYP,0,0,0
ARG,CZE,224,67,0
ARG,DEU,0,0,0
ARG,DJI,0,0,0
ARG,DNK,428,344,0
ARG,DOM,0,0,0
ARG,DZA,0,0,0
ARG,ECU,0,0,0
ARG,EGY,0,0,0
ARG,ERI,0,0,0
ARG,ESP,135655,85545,0
ARG,EST,6,7,0
ARG,ETH,0,0,0
ARG,FIN,184,79,0
ARG,FJI,0,0,0
ARG,FRA,4083,6567,0
ARG,FSM,0,0,0
ARG,GAB,0,0,0
ARG,GBR,2920,6501,0
ARG,GEO,0,0,0
ARG,GHA,0,0,0
ARG,GIN,0,0,0
ARG,GMB,0,0,0
ARG,GNB,0,0,0
ARG,GNQ,0,0,0
ARG,GRC,387,214,0
ARG,GRD,0,0,0
ARG,GTM,0,0,0
ARG,GUY,0,0,0
ARG,HND,0,0,0
ARG,HRV,0,0,0
ARG,HTI,0,0,0
ARG,HUN,80,98,0
ARG,IDN,0,0,0
ARG,IND,0,0,0
ARG,IRL,198,422,0
ARG,IRN,0,0,0
ARG,IRQ,0,0,0
ARG,ISL,15,13,0
ARG,ISR,14148,18498,0
ARG,ITA,45468,11614,0
ARG,JAM,0,0,0
ARG,JOR,0,0,0
ARG,JPN,999,350,0
ARG,KAZ,0,0,0
ARG,KEN,0,0,0
ARG,KGZ,0,0,0
ARG,KHM,0,0,0
ARG,KWT,0,0,0
ARG,LAO,0,0,0
ARG,LBN,0,0,0
ARG,LBR,0,0,0
ARG,LBY,0,0,0
ARG,LCA,0,0,0
ARG,LKA,0,0,0
ARG,LSO,0,0,0
ARG,LTU,0,0,0
ARG,LUX,63,101,0
ARG,LVA,11,4,0
ARG,MAR,0,0,0
ARG,MDA,0,0,0
ARG,MDG,0,0,0
ARG,MDV,0,0,0
ARG,MEX,4906,6804,0
ARG,MKD,0,0,0
ARG,MLI,0,0,0
ARG,MLT,0,0,0
ARG,MMR,0,0,0
ARG,MNG,0,0,0
ARG,MOZ,0,0,0
ARG,MRT,0,0,0
ARG,MUS,0,0,0
ARG,MWI,0,0,0
ARG,MYS,0,0,0
ARG,NAM,0,0,0
ARG,NER,0,0,0
ARG,NGA,0,0,0
ARG,NIC,0,0,0
ARG,NLD,1116,1884,0
ARG,NOR,304,314,0
ARG,NPL,0,0,0
ARG,NZL,516,783,0
ARG,OMN,0,0,0
ARG,PAK,0,0,0
ARG,PAN,0,0,0
ARG,PER,0,0,0
ARG,PHL,0,0,0
ARG,PNG,0,0,0
ARG,POL,118,116,0
ARG,PRT,702,457,0
ARG,PRY,0,0,0
ARG,QAT,0,0,0
ARG,ROM,0,0,0
ARG,RWA,0,0,0
ARG,SAU,0,0,0
ARG,SDN,0,0,0
ARG,SEN,0,0,0
ARG,SGP,0,0,0
ARG,SLB,0,0,0
ARG,SLE,0,0,0
ARG,SLV,0,0,0
ARG,SOM,0,0,0
ARG,SRB,0,0,0
ARG,STP,0,0,0
ARG,SUR,0,0,0
ARG,SVK,51,17,0
ARG,SVN,180,127,0
ARG,SWE,1335,1175,0
ARG,SWZ,0,0,0
ARG,SYR,0,0,0
ARG,TCD,0,0,0
ARG,TGO,0,0,0
ARG,THA,0,0,0
ARG,TJK,0,0,0
ARG,TKM,0,0,0
ARG,TON,0,0,0
ARG,TTO,0,0,0
ARG,TUN,0,0,0
ARG,TUR,0,0,0
ARG,TZA,0,0,0
ARG,UGA,0,0,0
ARG,UKR,0,0,0
ARG,URY,0,0,0
ARG,USA,84660,67078,0
ARG,UZB,0,0,0
ARG,VCT,0,0,0
ARG,VEN,0,0,0
ARG,VNM,0,0,0
ARG,VUT,0,0,0
ARG,WSM,0,0,0
ARG,YEM,0,0,0
ARG,ZAF,0,0,0
ARG,ZAR,0,0,0
ARG,ZMB,0,0,0
ARG,ZWE,0,0,0
ARM,AFG,0,0,0
ARM,AGO,0,0,0
ARM,ALB,0,0,0
ARM,ARE,0,0,0
