iso,Lambdap,LambdaNMp,LambdaPESCp,LambdaSCp,Hr,Hn,HrNMp,HrPESCp,HrSCp,HnNM,HnPE,HnGE
"MUS",6.11888928049011,2.35232989252973,2.00443062773965,2.02738573896003,0.0257563141090238,0.0715891330828604,0.049195840255103,0.0499527826890866,0.0433651754554365,0.049195840255103,0.0428817873651899,0.0433651754554365
"MWI",3.46374734005942,3.00481237208988,3.03543849177533,3.02819876341149,0.0107473640684727,0.0123685419366853,0.0104058082307791,0.0104424985286568,0.0105143921873124,0.0104058082307791,0.0105478095570135,0.0105143921873124
"MYS",2.60379011367921,2.4475713716616,2.43572393925324,2.43876986140434,0.159353480710307,0.167817524306083,0.161138891761603,0.161252632060883,0.160737150196653,0.161138891761603,0.160597444000833,0.160737150196653
"NAM",3.12457846825706,2.98775486718988,2.96118224257906,2.96882528664392,0.0588746561760379,0.061405250666421,0.0600816749618206,0.0603147843500637,0.0598889510704079,0.0600816749618206,0.0598104382181105,0.0598889510704078
"NER",3.31636207682875,2.98775497251484,3.013784874685,3.00761337978813,0.00686480676667134,0.00761408114318685,0.00667691097726748,0.00669757574318612,0.00673696254233206,0.00667691097726748,0.00675553213590531,0.00673696254233205
"NGA",3.13901848229654,2.98775490348259,2.98839315608904,2.98823340855883,0.0880314005181922,0.0920778639455789,0.0879812075278157,0.0879820285777532,0.0879946744534414,0.0879812075278157,0.0879991696045603,0.0879946744534413
"NIC",2.80245113313389,2.30359673014139,2.34783270424187,2.3406261149999,0.0821876095167634,0.0982372749887177,0.0770296434661695,0.0777832823755643,0.0788155018575353,0.0770296434661695,0.0791587177467703,0.0788155018575352
"NLD",1.35172787594082,1.29078433970427,1.33782524965552,1.31984964335344,0.244217906815138,0.249557909959001,0.216058395446579,0.224669690428065,0.232420928535442,0.216058395446579,0.242184608157263,0.232420928535442
"NOR",1.10870261069774,1.07917615308747,1.11052435254245,1.10491214713731,0.287170060437115,0.282507690508032,0.211401189831761,0.270166345741096,0.273592002183202,0.211401189831761,0.286771021464587,0.273592002183202
"NPL",3.20621749717793,2.87428342644834,2.87118464836611,2.87195609475016,0.0354169670890846,0.0393461345950852,0.0355252955142164,0.0355233770533751,0.0354961177495583,0.0355252955142164,0.0354864381950131,0.0354961177495583
"NZL",1.20964835489926,1.1605362740547,1.23714865824011,1.21426974200316,0.350841029297042,0.31584703712447,0.252091932287465,0.303527280939379,0.321580836901056,0.252091932287465,0.349335941876373,0.321580836901056
"OMN",2.07547548867043,2.0697981373663,2.06999715236091,2.06994710003166,0.155487107448725,0.155847132947567,0.155449652219162,0.155450999255931,0.155460109195013,0.155449652219162,0.155463622462424,0.155460109195013
"PAK",2.42035578537368,2.16068885821456,2.19860473328692,2.19047961298549,0.0427943403125584,0.0476919951739102,0.0403177441785406,0.0407776246023513,0.0412200615826002,0.0403177441785407,0.0414635224175059,0.0412200615826002
"PAN",2.37837641187808,2.14153244384856,2.13940494869209,2.13983636318057,0.170548656613778,0.185904071527633,0.170987852931254,0.170979739267923,0.170869127722897,0.170987852931254,0.170838898789426,0.170869127722897
"PER",1.91884950488435,1.84133477912652,1.85055782307599,1.84872349936708,0.197297680871304,0.203909725216009,0.194567614446383,0.194934895583075,0.195491884694495,0.194567614446383,0.195720200420612,0.195491884694495
"PHL",2.44427825983311,2.24452676934538,2.28996012842268,2.28233243554756,0.276377286050872,0.293748375118561,0.260313084921446,0.264339090480257,0.266935488285666,0.260313084921446,0.268254449038675,0.266935488285666
"PNG",2.89154638831653,2.82736955027547,2.83138096123622,2.83042225910813,0.14417519595465,0.146966789780319,0.143634067890643,0.143671209605571,0.143795182216589,0.143634067890643,0.143845726050573,0.143795182216589
"POL",1.55591937778566,1.412601513762,1.45378078622464,1.44997366179316,0.176837888231878,0.191394067252438,0.156464169158912,0.163980420250252,0.166238162261837,0.156464169158912,0.1672056417849,0.166238162261837
"PRT",1.8915809166905,1.916128070616,1.9757449155507,1.96117803760935,0.126105928129676,0.114381961333209,0.116025475256484,0.115265489073367,0.118934682241751,0.116025475256484,0.11984698772678,0.118934682241751
"PRY",2.09171967631479,2.04564983622932,2.05716350844736,2.05497289904799,0.109687789753363,0.111881678115449,0.107537239553116,0.108091218263876,0.10842547011068,0.107537239553116,0.108633505375829,0.10842547011068
"QAT",1.99224639660315,1.97820847033141,1.97920827930157,1.97896561991975,0.16838151374719,0.169374014450349,0.168162696506247,0.168178838932405,0.16822846860267,0.168162696506247,0.16824953729782,0.16822846860267
