iso,Lambda,LambdaNM,LambdaPESC,LambdaSC,Hr,Hn,HrNM,HrPESC,HnSC,Niih,Niil,Mh,Ml,L,N,LIC,LMIC,UMIC,HIC,mH,mL,HnNM,HnPE,HnGE
"FIN",1.51972246498395,1.55506543651596,1.54233241279125,1.53665684376421,0.385200470661708,0.385123005306595,0.401964567157427,0.391131073319367,0.393289211613238,1459676,2277513,70120.0000000071,164917.999999984,3868596,3972227,0,0,0,1,0.0458361768497284,0.067522071247861,0.401964567157427,0.395985999480673,0.393289211613238
"FJI",4.13287134019967,2.48038875237503,2.81690228045749,2.82700745498975,0.123775908024994,0.190526609876627,0.0604713015444423,0.0781003301532979,0.0885981307121931,50988,360950,56078.9999999996,93936.0000000148,411938,561953,0,1,0,0,0.523774832581464,0.206504486838493,0.0604713015444422,0.0877662189617568,0.0885981307121931
"FRA",1.40672944631055,1.35535494465296,1.4035146209949,1.3761944945503,0.227508687203152,0.232644650615833,0.210963514646441,0.210007674614828,0.219953386638252,9558855,32724036,551245.000000004,623128.000000244,48388416,43457264,0,0,0,1,0.0545241886826049,0.0186860867688852,0.210963514646441,0.231334479882913,0.219953386638252
"FSM",2.69757626189426,2.48370759520736,2.46929538519855,2.46892508001553,0.138054136000196,0.148180273313035,0.140663909475853,0.14081318245957,0.140096267129776,5646,35251,2725,12870.0000000003,40897,56492,0,0,1,0,0.325528610679727,0.267450801105552,0.140663909475853,0.140110569686001,0.140096267129776
"GAB",2.794740374987,2.26576928186619,2.47311987307136,2.44112667574099,0.0443961100187349,0.0541991522367968,0.0277645264308825,0.0347166526815759,0.0361876634201592,32536,700321,8047.99999999993,7889.00000007486,732857,748794,0,1,0,0,0.198304750640645,0.0111393513224536,0.0277645264308825,0.0377737175427951,0.0361876634201592
"GBR",1.5289628862149,1.42645697252865,1.52759841969439,1.49614115038659,0.271011042700924,0.255512562383147,0.220800749135639,0.23162673666034,0.244915730771174,11388743,35567978,1450392.00000003,1841433.99999981,53082575,50248547,0,0,0,1,0.112966488786046,0.0492238156536599,0.220800749135639,0.255081102184325,0.244915730771174
"GEO",1.71600039288169,1.76027465306471,1.74428001132306,1.74673020406749,0.489857505845606,0.483493709698077,0.500478040702265,0.496723525705531,0.495373578088778,1445328,1505179,57120.0000000539,99855.0000000577,2950507,3107482,0,0,1,0,0.0380179546979688,0.0622136353498167,0.500478040702265,0.494441712733251,0.495373578088777
"GHA",2.91622472923928,2.40784379385206,2.59525769445276,2.5657499738585,0.0479611986506764,0.0575051879456819,0.0328360140293695,0.0388495208621565,0.0403221462906211,465336,9237007,107699.00000001,154884.999999959,9702343,9964927,0,1,0,0,0.187944889928206,0.0164913523281527,0.0328360140293695,0.0417471265645277,0.0403221462906211
"GIN",3.34357131407992,2.98775495526076,3.1239258190447,3.10127904108014,0.0248335312509494,0.0277090464005303,0.0199493332371095,0.0218955886774669,0.0223797886343519,94001,3691244,12172.9999999981,34327.0000000951,3785245,3831745,1,0,0,0,0.114651421251889,0.00921388962929308,0.0199493332371095,0.0228706858237543,0.0223797886343519
"GMB",3.76875659845896,2.89783934333422,3.10468026047534,3.07098161008103,0.0388719522819813,0.0499707496007716,0.0287864715877534,0.0317799785214135,0.0331295156464374,27886,689495,10039.9999999999,31543.0000000659,717381,758964,0,1,0,0,0.264726045456941,0.0437466541292774,0.0287864715877534,0.0339712984056643,0.0331295156464374
"GNB",4.96770714310919,2.98775496744487,3.41434291070446,3.3452832995104,0.0106890961740847,0.017647634173719,0.00558061734078778,0.0071771291521239,0.00776198564649212,6541,605391,4825.99999999999,27351.0000002651,611932,644109,1,0,0,0,0.424562329550452,0.0432261490469498,0.00558061734078778,0.00819347454389022,0.00776198564649212
"GNQ",3.20621505242836,2.48891906036661,2.39531031829368,2.4166646600633,0.0442840017251743,0.0563275858178524,0.0489695664748899,0.0494555911140665,0.0479862278930917,13040,281423,4433.99999999999,11323.9999999992,294463,310221,0,0,0,1,0.25374842623326,0.0386818652283345,0.0489695664748899,0.0476842508307789,0.0479862278930917
"GRC",1.29439069588701,1.28135754056719,1.28995193180267,1.28819294405286,0.184253056893219,0.185003090969513,0.178611129531519,0.181211595048717,0.181979603515225,1636872,7284282,123397.999999984,470262.000000162,9909898,9514814,0,0,0,1,0.0701017457549035,0.0606434111406373,0.178611129531519,0.182840654085161,0.181979603515225
"GRD",4.79512078906567,2.34796169971911,2.21988364494735,2.15462924773833,0.110295379569421,0.202026554147945,0.146544306213645,0.147173885307613,0.136789388623985,5784,46657,14134,32016,52441,98591,0,0,1,0,0.70960939853399,0.40695028790055,0.146544306213645,0.140271874989878,0.136789388623985
