o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"AGO","PAK",0,1,1,0,0
"AGO","PAN",0,1,1,0,0
"AGO","PER",0,1,1,0,0
"AGO","PHL",0,1,1,0,0
"AGO","PNG",0,1,1,0,0
"AGO","POL",0,0.999995413452236,0.999999995745609,34,16
"AGO","PRT",0,0.939290930755953,0.998820354745318,38730,113002
"AGO","PRY",0,1,1,0,0
"AGO","QAT",0,1,1,0,0
"AGO","ROM",0,1,1,0,0
"AGO","RWA",0,1,1,0,0
"AGO","SAU",0,1,1,0,0
"AGO","SDN",0,1,1,0,0
"AGO","SEN",0,1,1,0,0
"AGO","SGP",0,1,1,0,0
"AGO","SLB",0,1,1,0,0
"AGO","SLE",0,1,1,0,0
"AGO","SLV",0,1,1,0,0
"AGO","SOM",0,1,1,0,0
"AGO","SRB",0,1,1,0,0
"AGO","STP",0,1,1,0,0
"AGO","SUR",0,1,1,0,0
"AGO","SVK",0,0.999999647475068,0.999999998701136,6,9
"AGO","SVN",0,0.999999981161076,1,1,0
"AGO","SWE",0,0.99998464716455,0.999999832327533,120,380
"AGO","SWZ",0,1,1,0,0
"AGO","SYR",0,1,1,0,0
"AGO","TCD",0,1,1,0,0
"AGO","TGO",0,1,1,0,0
"AGO","THA",0,1,1,0,0
"AGO","TJK",0,1,1,0,0
"AGO","TKM",0,1,1,0,0
"AGO","TON",0,1,1,0,0
"AGO","TTO",0,1,1,0,0
"AGO","TUN",0,1,1,0,0
"AGO","TUR",0,1,1,0,0
"AGO","TZA",0,1,1,0,0
"AGO","UGA",0,1,1,0,0
"AGO","UKR",0,1,1,0,0
"AGO","URY",0,1,1,0,0
"AGO","USA",0,0.999039536529686,0.999989622680697,3661,9620
"AGO","UZB",0,1,1,0,0
"AGO","VCT",0,1,1,0,0
"AGO","VEN",0,1,1,0,0
"AGO","VNM",0,1,1,0,0
"AGO","VUT",0,1,1,0,0
"AGO","WSM",0,1,1,0,0
"AGO","YEM",0,1,1,0,0
"AGO","ZAF",0,1,1,0,0
"AGO","ZAR",0,1,1,0,0
"AGO","ZMB",0,1,1,0,0
"AGO","ZWE",0,1,1,0,0
"ALB","AFG",0,1,1,0,0
"ALB","AGO",0,1,1,0,0
"ALB","ALB",1,0,0,144520,1704032
"ALB","ARE",0,1,1,0,0
"ALB","ARG",0,1,1,0,0
"ALB","ARM",0,1,1,0,0
"ALB","AUS",0,0.999916522605393,0.99999234789012,333,1381
"ALB","AUT",0,1,1,0,0
"ALB","AZE",0,1,1,0,0
"ALB","BDI",0,1,1,0,0
"ALB","BEL",0,0.999778900909638,0.999990138297843,671,1641
"ALB","BEN",0,1,1,0,0
"ALB","BFA",0,1,1,0,0
"ALB","BGD",0,1,1,0,0
"ALB","BGR",0,1,1,0,0
"ALB","BHR",0,1,1,0,0
"ALB","BHS",0,1,1,0,0
"ALB","BIH",0,1,1,0,0
"ALB","BLR",0,1,1,0,0
"ALB","BLZ",0,1,1,0,0
"ALB","BOL",0,1,1,0,0
"ALB","BRA",0,1,1,0,0
"ALB","BRB",0,1,1,0,0
"ALB","BRN",0,1,1,0,0
"ALB","BTN",0,1,1,0,0
"ALB","BWA",0,1,1,0,0
"ALB","CAF",0,1,1,0,0
"ALB","CAN",0,0.992565809174621,0.999971441801817,7210,3280
"ALB","CHE",0,1,0.999978273333986,0,2544
"ALB","CHL",0,1,1,0,0
"ALB","CHN",0,1,1,0,0
"ALB","CIV",0,1,1,0,0
"ALB","CMR",0,1,1,0,0
"ALB","COG",0,1,1,0,0
"ALB","COL",0,1,1,0,0
"ALB","COM",0,1,1,0,0
"ALB","CPV",0,1,1,0,0
"ALB","CRI",0,1,1,0,0
"ALB","CUB",0,1,1,0,0
"ALB","CYP",0,1,1,0,0
"ALB","CZE",0,0.999968818055714,0.999999618448327,100,110
"ALB","DEU",0,1,1,0,0
"ALB","DJI",0,1,1,0,0
"ALB","DNK",0,0.999993803508194,0.999999878025381,66,84
"ALB","DOM",0,1,1,0,0
"ALB","DZA",0,1,1,0,0
"ALB","ECU",0,1,1,0,0
